"Næring";"2020"
"Jordbruk, skogbruk og fiske";252
"Sekundærnæringer";2333
"Varehandel, hotell og restaurant, samferdsel, finanstjen., forretningsmessig tjen., eiendom";4273
"Off.adm., forsvar, sosialforsikring";692
"Undervisning";826
"Helse- og sosialtjenester";2442
"Personlig tjenesteyting";388
