"Utdanningsnivå";"Personer 16 år og over"
"Grunnskolenivå";13373
"Videregående skolenivå";19923
"Universitets- og høgskolenivå, kort";17859
"Universitets- og høgskolenivå, lang";12003
"Uoppgitt eller ingen fullført utdanning";199
