"Næring";"2020"
"Jordbruk, skogbruk og fiske";670
"Sekundærnæringer";5205
"Varehandel, hotell og restaurant, samferdsel, finanstjen., forretningsmessig tjen., eiendom";15018
"Off.adm., forsvar, sosialforsikring";2729
"Undervisning";5362
"Helse- og sosialtjenester";11178
"Personlig tjenesteyting";1691
