"Alder";"Kvinner";"Menn"
"0-4 år";-500;519
"5-9 år";-582;585
"10-14 år";-669;699
"15-19 år";-749;773
"20-24 år";-621;792
"25-29 år";-669;759
"30-34 år";-787;794
"35-39 år";-762;832
"40-44 år";-766;817
"45-49 år";-739;744
"50-54 år";-841;891
"55-59 år";-831;870
"60-64 år";-744;712
"65-69 år";-786;740
"70-74 år";-744;691
"75-79 år";-657;624
"80-84 år";-390;350
"85-89 år";-197;140
"90-94 år";-105;58
"95-99 år";-31;13
"100 år eller eldre";-4;1
